Distance,CP20/40,CP20/50,CP20/60,CP20/80,CP20/100,CP20/120,CP20/140,CP20/160,CP20/180,CP25/40,CP25/50,CP25/60,CP25/80,CP25/100,CP25/120,CP25/140,CP25/160,CP25/180,FH5.18/60,FH5.18/90,FH5.18/120,FH5.18/150,FH5.18/180,TP25/80,TP25/100,TP25/120,TP25/140,TP25/160,TP25/180,TP20/80,TP20/100,TP20/120,TP20/140,TP20/160,TP20/180,TP15/80,TP15/100,TP15/120,TP15/140,TP15/160,TP15/180,TP17/80,TP17/100,TP17/120,TP17/140,TP17/160,TP17/180,SP6548,SP6554,SP6560,SP6648,SP6654,SP6660,RV2.25/120,RV2.25/150,RV2.25/170,RV2.25/180,RH2.21/120,RH2.21/150,RH2.21/170,RH2.21/180,FH8.20/60,FH8.20/90,FH8.20/120,FH8.20/150,FH8.20/180,FH8.23/60,FH8.23/90,FH8.23/120,FH8.23/150,FH8.23/180,FH8.21/60,FH8.21/90,FH8.21/120,FH8.21/150,FH8.21/180,,
24,71.74387048,55.50437793,45.95574822,46.51149007,39.80270161,33.99044108,32.16213323,30.94779513,30.10566203,89.9094321,73.30719454,63.12361378,62.84200485,55.48333626,48.80379579,46.44435393,44.79143625,42.92968391,518.3766992,523.4590593,526.9481287,525.6988881,525.9234645,619.0626041,624.7641123,633.7889927,636.6253291,638.3639905,639.4525097,634.282323,643.7069837,655.0599027,649.4247139,650.4503928,651.9288806,575.6545167,582.6095573,592.0177436,586.5408455,587.1326698,596.7833502,619.8651013,626.9230369,628.4689301,629.5968929,629.8438162,630.1082537,87.18680675,85.44541892,84.22649839,59.53356911,57.45816284,55.98870613,140.9560631,134.29264,130.0523067,128.7825053,1876.719025,1890.010406,1867.06424,1864.439289,598.497851,612.3413535,616.182281,619.6738933,619.8641702,639.130075,654.279788,661.1916043,665.6853463,666.7522429,626.1050184,640.795346,645.708734,649.2298905,650.6786599,,
25,71.34857747,55.27330347,45.79607547,46.34965479,39.6811559,33.89464168,32.07209923,30.86084303,30.02062486,89.3800036,72.96496983,62.86869283,62.58957712,55.28174755,48.63839827,46.28501269,44.63857018,42.78679264,505.9970238,511.8527018,515.8330199,512.7403498,515.9860564,611.4542601,619.099705,626.1648382,629.0230342,630.7437055,631.8408696,620.4811953,628.3758368,637.7157241,633.4207524,634.9049268,634.8845583,562.9468195,568.6581672,576.1700457,571.8826238,573.0955528,579.5269744,600.7219096,607.8067058,609.3975448,610.4285189,610.5602741,611.2150899,87.38313229,85.65306101,84.42936766,59.73381148,57.66680641,56.19119378,139.3639493,132.9773315,128.499263,127.2356446,1851.559861,1876.407791,1842.229797,1839.750681,595.5994162,594.9946877,600.8823806,605.7637492,608.3922301,626.4733649,631.4410592,645.6845146,651.6710521,660.3943685,613.4061072,623.1664045,630.2199166,630.4442627,644.1186413,,
26,70.94841723,55.03617082,45.62988559,46.18063866,39.55214629,33.7913056,31.97481584,30.76634112,29.92807671,88.84134201,72.61290484,62.60341875,62.32588433,55.06888109,48.46802826,46.12461924,44.48451689,42.62740138,493.167717,496.7720561,500.2279858,501.3880701,501.710839,603.6220679,613.0810555,618.3153226,621.1730162,622.8931148,623.9901952,605.783551,608.1980452,614.2647889,614.485971,616.765719,617.2501111,549.3955664,554.1692322,554.7654635,554.4785468,554.6583729,555.6539627,581.8604743,588.8405492,590.5257878,591.4554554,591.5947199,592.242325,87.57118655,85.84459327,84.61890046,59.92139321,57.8630633,56.38597136,137.9265516,130.905091,127.0975179,125.8413252,1822.861987,1818.98059,1813.838296,1811.600992,577.9078168,569.7034891,573.3573427,577.6008307,590.6347373,601.3809598,621.5908946,616.8061362,622.2538443,645.6227439,586.6419613,597.1851725,601.7672903,616.7343631,629.3790671,,
27,70.54054809,54.79380573,45.45983201,46.0080511,39.42020482,33.68575916,31.87544018,30.66992075,29.83357262,88.29698558,72.25619317,62.33391133,62.05775615,54.85179271,48.28789,45.95487646,44.32157712,42.46734538,481.8028962,487.5765468,490.4213933,491.1044858,491.3796965,595.7462801,607.760748,610.2645322,613.1115641,614.763945,615.9350064,591.493699,594.6984938,594.4946948,598.4429816,615.5340506,610.5219096,536.2188374,549.758694,536.7084793,539.769265,545.3811817,548.5331705,562.8080914,569.6386108,571.4519038,572.2856385,572.3810322,573.2650897,87.8179965,86.09966235,84.87369159,60.13712222,58.09117009,56.60894885,136.6353508,129.6304324,125.8361747,124.5855162,1791.471909,1787.674684,1782.578096,1780.350153,561.5172863,570.0627452,579.726379,577.1469238,581.8820693,598.1862129,615.294687,624.1541468,622.6500098,630.3159719,585.707434,598.0747788,608.7643346,608.0197597,614.1053812,,
28,70.12827122,54.55011572,45.28977358,45.83572927,39.28917268,33.58147195,31.77738791,30.57488456,29.74046215,87.7515215,71.89968724,62.06560781,61.79154983,54.63720498,48.10613357,45.76421777,44.13715143,42.30894731,471.2007187,478.1159332,479.23124,479.671298,479.9514431,587.4166409,591.3370842,602.0425278,604.967879,606.6142346,607.7050979,576.5236008,594.1142715,583.6836343,582.4413215,591.5137693,600.2186812,522.4003736,535.0309805,526.7226666,525.2526982,532.9175841,533.0095889,544.7867261,551.3970618,553.1187254,553.8902357,554.2457666,555.0082752,88.04110237,86.33224339,85.1111906,60.34285584,58.31011799,56.83324444,135.4595229,128.470293,124.6865833,123.4366066,1758.80904,1755.154274,1750.121975,1747.781105,546.598024,562.6623808,567.6598733,570.8469993,573.4928496,586.8479014,604.8992789,612.9893315,616.7345171,618.8613828,576.1926233,590.8179071,597.179521,597.2436661,602.611791,,
29,69.71531318,54.30578682,45.11924006,45.66316198,39.15803726,33.47732645,31.68021041,30.48015277,29.64762303,87.20201289,71.54101109,61.79600035,61.52410666,54.42170852,47.92775923,45.57714679,43.95640322,42.16176872,461.0683171,468.058811,468.0805873,468.6699512,468.9445529,579.0694021,573.8795166,593.6687712,596.5565465,598.3139694,599.3199738,562.0444728,581.0945182,572.2537396,577.040351,579.5847682,581.0829034,509.0397276,513.3120459,516.1137211,520.0623515,520.2800898,521.844424,528.2699378,534.5360051,536.0273175,536.8712843,537.6705786,537.9005733,88.2158601,86.51054146,85.30363429,60.53148645,58.50826282,57.04031564,134.3908188,127.4152674,123.6368975,122.3888382,1724.768676,1721.280403,1716.380562,1714.017153,526.0500258,545.6439795,549.2580497,550.4743855,560.3587069,569.6505101,591.2549325,593.6149235,595.5668299,610.5919455,556.7844152,573.4397439,578.1226213,583.0986974,594.3217805,,
30,69.30422696,54.06453567,44.95270489,45.49564212,39.03247288,33.3790756,31.5887037,30.39163181,29.56113002,86.64995672,71.17990151,61.52401642,61.2541591,54.20349196,47.74748125,45.39502769,43.78079903,42.01893032,449.0356718,455.5545133,457.0161157,457.7515976,458.0266669,570.6157664,580.4331015,585.2984844,588.1222209,589.9548638,591.0418812,547.7624108,555.5978117,558.2669536,558.1794138,561.1255575,559.9244247,495.8613282,497.5801556,503.1925492,502.7004038,501.5458839,505.6215794,511.4764546,517.4829561,518.8487415,519.7363783,520.750883,520.5140692,88.37925084,86.67669211,85.48060748,60.71189005,58.69865277,57.23487616,133.4226796,126.4587764,122.6829328,121.4378552,1689.224522,1685.902855,1681.229783,1678.933183,509.9265096,531.216315,535.2258362,537.0737116,537.6248506,556.0185633,578.501261,579.2022289,581.9066616,588.0603785,543.0780696,558.7657898,563.8071816,570.8704352,571.981925,,
31,68.88726475,53.81451176,44.77626736,45.31692776,38.89559006,33.2694903,31.48480696,30.29182756,29.46341655,86.09666056,70.8167752,61.24975012,60.9818973,53.98290972,47.5644281,45.21234329,43.60467406,41.87527953,438.249918,444.7504126,447.3998156,446.944132,447.2196004,562.0615653,574.1622693,576.0013808,579.3906923,581.3067174,582.3848368,533.6628007,529.6047191,543.3485084,539.2894861,541.7569601,540.5362073,482.8513752,485.4261859,489.4481565,485.3688777,484.6363813,488.6848602,494.6272013,500.5851617,501.9054354,502.5607952,503.634106,503.2047255,88.53052073,86.82992801,85.64165567,60.88421168,58.87854363,57.41765984,132.5454075,125.5910444,121.8206262,120.5801045,1652.067616,1648.896932,1644.616216,1642.435211,503.8050814,522.0273693,526.0223649,528.4803615,528.3952783,547.6620402,565.4215942,570.0510539,573.4338453,575.6454675,534.6443772,549.5974274,554.6008503,558.1564283,559.6108243,,
32,68.46266243,53.56040486,44.59709164,45.13519472,38.75624041,33.15763822,31.37863008,30.18965617,29.36329693,85.54009027,70.45081518,60.97293251,60.7069749,53.75999114,47.37961811,45.02911258,43.42802436,41.70673058,427.8660031,434.3457391,434.7052154,436.2694891,437.0926635,553.4287004,562.5528584,567.8680495,572.1735947,574.8931435,573.4747169,519.74234,509.4075994,529.7244402,523.5912485,525.6783045,525.6376174,470.0069782,474.4810657,476.9315544,471.0497715,475.4478171,473.2300469,477.8701206,483.7344736,485.1458059,485.5198628,486.6636277,486.1399652,88.69058151,86.99003203,85.80069435,61.06448836,59.05707299,57.60123476,131.7528402,117.0733689,121.0351902,119.7975271,1614.596611,1507.040289,1607.162851,1605.186092,495.6071292,514.0956093,518.5952992,520.7970029,520.9815934,540.0789871,552.6537345,562.8165143,565.9160479,563.4841728,526.9858572,541.7504864,547.2625538,545.7724543,547.497069,,
33,68.03534488,53.30506321,44.41743582,44.95320124,38.61696609,33.04608092,31.27284841,30.08787399,29.263579,84.97904354,70.08149528,60.69325473,60.42907853,53.53450045,47.19236106,44.84533228,43.25086863,41.5375885,416.5557969,422.9755047,424.4360679,425.7441321,424.7478666,544.7367079,554.1927804,559.0329764,563.300749,563.6203455,564.6994276,505.9782064,493.0439311,515.4632322,498.474339,503.1564209,503.9832502,457.307364,463.2185132,463.822629,448.2368032,466.5556401,452.7600134,461.918437,467.6930921,469.1027166,469.4572363,470.5872789,470.0940388,88.78901843,87.08940814,85.89507386,61.21445257,59.20527531,57.7506269,131.0102287,120.5223716,120.3042369,119.0641364,1576.973252,1526.411486,1569.709462,1567.843258,485.7382732,501.1697098,506.6254661,506.5476077,508.6760229,525.637421,540.4666831,550.6491178,551.2478261,550.9665865,512.6759363,528.5990825,535.1269161,533.3941239,535.0254008,,
